,age,education,default,balance,housing,loan,month,duration,campaign,pdays,previous,poutcome,y
0,30.0,primary,no,1787.0,no,no,oct,79.0,1.0,-1.0,0.0,unknown,no
1,33.0,secondary,no,4789.0,yes,yes,may,220.0,1.0,339.0,4.0,failure,no
2,35.0,tertiary,no,1350.0,yes,no,apr,185.0,1.0,330.0,1.0,failure,no
3,30.0,tertiary,no,1476.0,yes,yes,jun,199.0,4.0,-1.0,0.0,unknown,no
4,59.0,secondary,no,0.0,yes,no,may,226.0,1.0,-1.0,0.0,unknown,no
5,35.0,tertiary,no,747.0,no,no,feb,141.0,2.0,176.0,3.0,failure,no
6,36.0,tertiary,no,307.0,yes,no,may,341.0,1.0,330.0,2.0,other,no
7,39.0,secondary,no,147.0,yes,no,may,151.0,2.0,-1.0,0.0,unknown,no
8,41.0,tertiary,no,221.0,yes,no,may,57.0,2.0,-1.0,0.0,unknown,no
9,43.0,primary,no,-88.0,yes,yes,apr,313.0,1.0,147.0,2.0,failure,no
10,39.0,secondary,no,9374.0,yes,no,may,273.0,1.0,-1.0,0.0,unknown,no
11,43.0,secondary,no,264.0,yes,no,apr,113.0,2.0,-1.0,0.0,unknown,no
12,36.0,tertiary,no,1109.0,no,no,aug,328.0,2.0,-1.0,0.0,unknown,no
13,20.0,secondary,no,502.0,no,no,apr,261.0,1.0,-1.0,0.0,unknown,yes
14,31.0,secondary,no,360.0,yes,yes,jan,89.0,1.0,241.0,1.0,failure,no
15,40.0,tertiary,no,194.0,no,yes,aug,189.0,2.0,-1.0,0.0,unknown,no
16,56.0,secondary,no,4073.0,no,no,aug,239.0,5.0,-1.0,0.0,unknown,no
17,37.0,tertiary,no,2317.0,yes,no,apr,114.0,1.0,152.0,2.0,failure,no
18,25.0,primary,no,-221.0,yes,no,may,250.0,1.0,-1.0,0.0,unknown,no
19,31.0,secondary,no,132.0,no,no,jul,148.0,1.0,152.0,1.0,other,no
20,38.0,unknown,no,0.0,yes,no,nov,96.0,2.0,-1.0,0.0,unknown,no
21,42.0,tertiary,no,16.0,no,no,nov,140.0,3.0,-1.0,0.0,unknown,no
22,44.0,secondary,no,106.0,no,no,jun,109.0,2.0,-1.0,0.0,unknown,no
23,44.0,secondary,no,93.0,no,no,jul,125.0,2.0,-1.0,0.0,unknown,no
24,26.0,tertiary,no,543.0,no,no,jan,169.0,3.0,-1.0,0.0,unknown,no
25,41.0,tertiary,no,5883.0,no,no,nov,182.0,2.0,-1.0,0.0,unknown,no
26,55.0,primary,no,627.0,yes,no,may,247.0,1.0,-1.0,0.0,unknown,no
27,67.0,unknown,no,696.0,no,no,aug,119.0,1.0,105.0,2.0,failure,no
28,56.0,secondary,no,784.0,no,yes,jul,149.0,2.0,-1.0,0.0,unknown,no
29,53.0,secondary,no,105.0,no,yes,aug,74.0,2.0,-1.0,0.0,unknown,no
30,68.0,secondary,no,4189.0,no,no,jul,897.0,2.0,-1.0,0.0,unknown,yes
31,31.0,secondary,no,171.0,no,no,aug,81.0,3.0,-1.0,0.0,unknown,no
32,59.0,secondary,no,42.0,no,no,nov,40.0,1.0,-1.0,0.0,unknown,no
33,32.0,tertiary,no,2536.0,yes,no,aug,958.0,6.0,-1.0,0.0,unknown,yes
34,49.0,tertiary,no,1235.0,no,no,aug,354.0,3.0,-1.0,0.0,unknown,yes
35,42.0,secondary,no,1811.0,yes,no,may,150.0,1.0,-1.0,0.0,unknown,no
36,78.0,primary,no,229.0,no,no,oct,97.0,1.0,-1.0,0.0,unknown,yes
37,32.0,secondary,no,2089.0,yes,no,nov,132.0,1.0,-1.0,0.0,unknown,yes
38,33.0,secondary,no,3935.0,yes,no,may,765.0,1.0,342.0,2.0,failure,yes
39,23.0,tertiary,no,363.0,yes,no,may,16.0,18.0,-1.0,0.0,unknown,no
40,38.0,tertiary,no,11971.0,yes,no,nov,609.0,2.0,101.0,3.0,failure,no
41,36.0,tertiary,no,553.0,no,no,aug,106.0,2.0,-1.0,0.0,unknown,no
42,52.0,secondary,no,1117.0,yes,no,may,365.0,1.0,-1.0,0.0,unknown,no
43,32.0,tertiary,no,396.0,yes,no,may,205.0,3.0,-1.0,0.0,unknown,no
44,32.0,tertiary,no,2204.0,yes,no,nov,11.0,4.0,-1.0,0.0,unknown,no
45,34.0,tertiary,no,872.0,yes,no,may,105.0,2.0,-1.0,0.0,unknown,no
46,55.0,primary,no,145.0,no,no,feb,59.0,3.0,5.0,2.0,other,no
47,26.0,primary,no,0.0,yes,no,may,425.0,1.0,-1.0,0.0,unknown,no
48,32.0,primary,yes,-849.0,yes,yes,feb,204.0,1.0,-1.0,0.0,unknown,no
49,61.0,unknown,no,4629.0,yes,no,jan,181.0,1.0,92.0,1.0,success,yes
50,45.0,primary,no,844.0,no,no,jun,1018.0,3.0,-1.0,0.0,unknown,yes
51,37.0,secondary,no,228.0,yes,no,aug,1740.0,2.0,-1.0,0.0,unknown,no
52,38.0,secondary,no,50.0,no,no,aug,98.0,2.0,-1.0,0.0,unknown,no
53,34.0,tertiary,no,1539.0,yes,no,jun,441.0,1.0,56.0,1.0,other,yes
54,53.0,secondary,no,2231.0,yes,no,jul,272.0,3.0,-1.0,0.0,unknown,no
55,48.0,secondary,no,3064.0,yes,no,jul,159.0,2.0,,0.0,unknown,no
56,57.0,secondary,no,82.0,no,yes,feb,140.0,1.0,-1.0,0.0,unknown,no
57,33.0,tertiary,no,2155.0,no,no,nov,295.0,1.0,-1.0,0.0,unknown,no
58,36.0,secondary,no,101.0,yes,yes,may,314.0,1.0,-1.0,0.0,unknown,no
59,54.0,secondary,no,784.0,yes,yes,may,579.0,1.0,-1.0,0.0,unknown,no
60,41.0,primary,no,-516.0,no,yes,jul,554.0,3.0,-1.0,0.0,unknown,no
61,63.0,secondary,no,415.0,yes,no,oct,323.0,1.0,-1.0,0.0,unknown,no
62,48.0,tertiary,no,5887.0,no,no,aug,227.0,2.0,-1.0,0.0,unknown,no
63,48.0,secondary,no,1355.0,no,no,jul,134.0,2.0,-1.0,0.0,unknown,no
64,56.0,secondary,no,16873.0,no,no,oct,223.0,1.0,-1.0,0.0,unknown,no
65,51.0,secondary,no,203.0,yes,no,may,134.0,1.0,170.0,5.0,failure,no
66,31.0,secondary,no,338.0,yes,no,jan,155.0,1.0,-1.0,0.0,unknown,no
67,29.0,secondary,no,444.0,yes,no,jul,130.0,4.0,-1.0,0.0,unknown,no
68,41.0,secondary,no,0.0,no,yes,jul,630.0,3.0,-1.0,0.0,unknown,no
69,32.0,tertiary,no,360.0,no,no,nov,164.0,2.0,-1.0,0.0,unknown,no
70,37.0,tertiary,no,0.0,no,no,jul,268.0,2.0,182.0,3.0,success,yes
71,42.0,tertiary,yes,2.0,yes,no,may,380.0,1.0,-1.0,0.0,unknown,no
72,31.0,tertiary,no,6248.0,yes,no,may,154.0,2.0,-1.0,0.0,unknown,no
73,41.0,tertiary,no,412.0,yes,no,jun,154.0,5.0,-1.0,0.0,unknown,no
74,56.0,secondary,no,344.0,yes,no,may,221.0,1.0,-1.0,0.0,unknown,no
75,54.0,tertiary,no,3222.0,no,no,aug,67.0,2.0,-1.0,0.0,unknown,no
76,41.0,secondary,no,174.0,yes,no,may,367.0,2.0,297.0,1.0,other,no
77,40.0,secondary,no,591.0,no,yes,aug,87.0,6.0,-1.0,0.0,unknown,no
78,50.0,primary,no,388.0,no,no,feb,701.0,1.0,-1.0,0.0,unknown,no
79,40.0,secondary,no,219.0,yes,no,nov,204.0,2.0,196.0,1.0,failure,no
80,27.0,secondary,no,451.0,yes,no,jul,652.0,1.0,-1.0,0.0,unknown,yes
81,60.0,primary,no,5.0,no,no,aug,63.0,2.0,-1.0,0.0,unknown,no
82,28.0,secondary,no,177.0,yes,yes,may,150.0,1.0,-1.0,0.0,unknown,no
83,52.0,secondary,no,657.0,no,no,jul,398.0,2.0,460.0,2.0,failure,yes
84,37.0,tertiary,no,1315.0,no,no,jun,224.0,1.0,-1.0,0.0,unknown,yes
85,51.0,primary,no,1466.0,yes,no,may,406.0,2.0,-1.0,0.0,unknown,no
86,41.0,secondary,no,879.0,no,yes,jul,60.0,4.0,-1.0,0.0,unknown,no
87,35.0,primary,no,293.0,yes,,may,521.0,2.0,-1.0,0.0,unknown,no
88,38.0,secondary,no,424.0,yes,no,apr,279.0,1.0,-1.0,0.0,unknown,no
